Geometria,Prev 2024,Stampo,Pressa,capacita giornaliera,Giorni produzione
MPC75106/107,8144400,A102,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",80000,102
MLS80323/322,10718400,A105,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",55000,194.88
MLC71029,11707200,A106,[6],60000,195.12
MLS80390/395/2382/402/411,3004800,A17,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",96000,31.3
MLS80392,15755000,A2,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",140000,113
MLS82006 = MLS80016,144000,A23,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",120000,1.2
MLS80016 = MLS80006 = MLS82006,3864000,A23,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",120000,32.2
MLS80334,3312000,A43Y_2,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",48000,69
MLS80336/333,6885840,A43Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",25000,275
MAC32075,2500000,A44,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",28000,89.28571429
MLC45044,561600,A49,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",48000,11.7
MPC45044/050,5018000,A49,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",48000,105
MLC45013 = 45049,28800,A50,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",48000,0.6
MAC32056,2000000,A51,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",30000,66.66666667
MPC45009,81000,A53X,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",60000,1.35
MPC45013/049,3935400,A53Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",55000,72
MLC42019/047,3222000,A54,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",60000,54
MLS80360,15321600,A56Y,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",120000,127.68
MLS80027,1096800,A58,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",140000,7.834285714
FIT507GL,1500000,A63,[18],20000,75
SIL001BI,1500000,A67,[18],25000,60
MPC75057/058,1078200,A78,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",20000,54
MLC45055/MPC45055/MPC4A055,6049400,A82,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",75000,81
MLC45057/MPC45057/058/4A057,6624800,A83,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",30000,221
MLC71075,15000000,A85MX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",85000,141.5902778
MPC75053/079/A053/A079,5105200,A87,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",42000,116
MPC75050/051/086/087,10560600,A88,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",65000,163
MLS80335,9256000,A92,[10],48000,192.8333333
MLS80300,4376160,A93,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",45000,97.248
MLS80391,1752600,A94IY,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",45000,39
MPC75073/074/075/076,11998800,A95,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",65000,185
MPC75093,15755000,A96B,[9],75000,196.32
MLC71038,3261600,A96X,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",60000,54.36
MAC32018/108/118,30790240,A98,[15],150000,206
MAC32019,18000000,A99,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",150000,120
MLC25002,16000000,ASS,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",130000,100.308642
MLC71074,5700000,ASSX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",85000,53.60243056
MPC75200,2000000,jolly,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",50000,40
MLS80335,5000000,TwinX,"[4, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16, 17, 18, 23, 24, 25]",48000,105
